year,tokens,characters,rel_characters,alternatives,rel_alternatives,true,alt_rel_to_total_buit
1842,11140910,110564,0.9924144437034318,113,0.0010142798029963442,1746,6.078536847767617
1843,11859698,106025,0.8939940966456313,116,0.0009781024778202614,2008,5.4613935969868175
1844,14738068,154534,1.0485363481834933,136,0.0009227803807120445,2086,6.120612061206121
1845,16802029,177357,1.0555689434889084,204,0.0012141390780839624,2608,7.254623044096728
1846,17332473,215978,1.246088772213867,180,0.0010385130846590675,2746,6.151742993848257
1847,19631870,260159,1.3251870555377556,172,0.000876126420967539,3604,4.555084745762712
1848,22267762,272822,1.2251882340039382,389,0.001746920054202124,4021,8.820861678004535
1849,20017533,222216,1.1101068248519934,118,0.0005894832295268354,3801,3.0109721867823422
1850,21534798,275756,1.2805135204890243,202,0.0009380166927964683,3973,4.838323353293413
1851,19998816,280653,1.4033480782062298,155,0.0007750458827162567,3163,4.671488848704039
1852,22052340,311577,1.412897678885778,285,0.00129237985628736,4294,6.224066390041494
1853,23671951,350901,1.4823493002330057,285,0.0012039565306636534,4620,5.81039755351682
1854,22516207,359132,1.5949933308038962,160,0.0007105992585696161,4961,3.124389767623511
1855,21871040,293084,1.3400551596997674,268,0.001225364683160929,5006,5.081532043989382
1856,25428951,367488,1.445155956295641,289,0.0011364998894370436,5812,4.736928372397967
1857,25861717,369568,1.4290157146178655,242,0.000935746068213491,5365,4.316033529516675
1858,26804383,389925,1.4547061202639882,323,0.001205026804758013,6076,5.047663697452727
1859,30334592,403723,1.3308997200291997,330,0.0010878669474110611,6809,4.622496147919876
1860,30527772,418444,1.3706994404963453,202,0.000661692572913608,6205,3.152801623224598
1861,33740652,428778,1.2708053181663472,358,0.001061034623752973,7217,4.726072607260726
1862,33623642,437083,1.2999275926147442,504,0.001498945295694024,7196,6.545454545454546
1863,32653419,442671,1.3556650836471367,378,0.001157612316186553,7412,4.85237483953787
1864,32233555,467869,1.451496739965542,442,0.0013712418627110786,6889,6.029191106261083
1865,35268379,506848,1.4371173679402731,280,0.0007939123031427104,6344,4.2270531400966185
1866,35873239,497829,1.3877447754299521,416,0.0011596388048483717,7776,5.078125
1867,36554210,483376,1.3223538410486781,423,0.0011571854514158561,9924,4.08814149028704
1868,33213127,434504,1.308229724951824,438,0.0013187556835584917,8453,4.926329996625801
1869,40025619,568541,1.4204427419348593,401,0.0010018583347830299,6894,5.496915695681974
1870,28083482,393825,1.4023367900034618,229,0.0008154259503860668,5517,3.9853811347024015
1871,30124526,443931,1.4736530626241224,284,0.0009427534229086294,4665,5.7385330369771665
1872,32269046,575110,1.7822342811126177,235,0.0007282520840560332,4114,5.403541043918142
1873,31140626,610279,1.9597518688288411,328,0.0010532864689361094,3737,8.068880688806889
1874,35281768,613886,1.7399524876417758,377,0.0010685405561308605,4902,7.141504072741049
1875,35888776,584195,1.6277930459372592,463,0.0012900969372708615,5129,8.279685264663804
1876,34868913,527491,1.5127830339878963,280,0.0008030075385487353,4524,5.828476269775187
1877,36225807,598026,1.6508286482065122,301,0.000830899364091461,4544,6.212590299277606
1878,37432557,748491,1.9995721905933381,266,0.0007106113536406289,4775,5.276730807379488
1879,48648656,936586,1.9252042646357999,347,0.0007132776699935965,5198,6.257889990982868
1880,47892652,1009667,2.1081877027816294,417,0.0008706972418232341,5134,7.512159971176365
1881,46472828,983906,2.1171640340028373,268,0.0005766810661920553,5465,4.674690388976104
1882,50426326,996739,1.9766242735986754,408,0.0008091011825846682,6364,6.0248080330773774
1883,56288438,875425,1.5552483442514429,369,0.0006555520336165661,7290,4.81786133960047
1884,51166256,812160,1.587296127353934,411,0.0008032637760323914,6144,6.270022883295194
1885,47753538,847767,1.7752967329876166,395,0.0008271638428130708,5348,6.877938359742294
1886,50709042,902048,1.778870127343364,384,0.0007572613972868981,5088,7.017543859649122
1887,58863063,832381,1.4140973261958862,467,0.0007933668011805637,5999,7.222394061243427
1888,53616163,802675,1.4970765438772633,430,0.0008019969649823692,5639,7.085187015982863
1889,58907684,930475,1.5795477547547108,553,0.0009387569879678176,6680,7.645513618139085
1890,61945962,952469,1.5375804479394475,455,0.0007345111534469349,7539,5.691768826619965
