ngram,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913
openbare,0,0,0,0,0,0,0,0,0,0,0,0,0,13,18,21,14,18,15,11,15,11,17,14,15,14,14,20,20,25,16,22,22,30,24,23,22,22,18,17,15,26,28,24,24,30,28,27,25,20,24,23,27,32,33,22,24,22,18,18,21,22,24,20,22,20,26,23,28,21,24,23,23,19,24,24,18,22,20,23,26,21,24,23,31,22,25,27,28,36,30,25,26,27,26,29,28,30,35
tegenwoordige,0,0,0,0,0,0,0,0,0,0,0,0,11,13,12,15,12,18,15,13,0,19,18,14,15,17,13,14,21,16,17,17,15,23,15,22,13,18,19,22,17,18,21,24,31,26,21,30,27,23,24,32,27,25,23,24,20,20,17,15,13,14,19,12,18,18,15,18,19,13,14,15,14,17,15,16,16,15,18,18,24,23,19,18,20,21,21,17,20,20,21,19,16,22,16,17,21,27,19
verre,0,0,0,12,0,0,0,13,11,12,13,14,14,12,17,16,20,23,19,17,15,17,14,14,12,16,17,17,19,21,19,0,15,15,12,0,12,13,15,13,0,14,16,11,13,13,0,15,12,0,0,12,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,16
goede,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,11,11,0,0,0,14,13,0,14,13,11,13,21,30,25,28,36,23,25,26,22,31,32,27,30,30,32,33,33,36,34,33,32,42,38,44,41,48,37,36,34,28,34,37,32,32,38,47,42,42,45,51,41,37,32,40,41,55,48,51,50,46,51,71,65,64,67,73,64,68,62,59,71,65,69,66,71,70,81,83,91,84
dadelijk,18,13,12,11,12,15,14,16,12,12,16,12,13,14,15,17,21,18,17,15,16,18,15,13,16,16,17,19,19,16,17,18,20,22,23,20,19,17,14,23,22,27,26,29,28,27,27,31,24,24,24,29,30,26,32,24,23,25,21,20,24,24,24,23,29,26,21,29,28,29,27,18,25,26,32,26,28,30,19,22,33,31,28,33,35,21,33,25,25,39,29,33,33,33,34,33,37,46,43
binnenlandsche,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,11,19,13,13,0,0,11,0,11,0,14,13,13,14,14,17,20,20,21,11,17,19,15,13,25,17,18,20,16,16,23,22,24,22,25,13,15,17,14,0,16,18,21,17,35,24,21,20,22,20,23,22,26,23,26,23,25,23,26,26,31,34,33,38,26,22,28,32,32,37,31,22,26,30,28,36,34,33,34
militaire,13,0,0,0,0,0,0,0,0,11,0,0,0,0,0,16,16,18,16,15,15,0,16,12,12,17,19,14,15,15,22,17,20,28,23,26,19,21,22,25,22,24,27,27,35,26,28,35,28,30,36,40,53,35,33,34,39,32,32,31,30,38,28,23,39,32,22,38,37,27,27,25,30,26,32,41,36,30,27,25,38,41,30,36,42,39,51,40,36,44,45,48,44,41,48,42,53,54,59
tegenwoordig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,0,0,12,0,0,0,0,13,0,13,12,12,0,13,0,0,12,13,15,16,12,18,21,16,17,21,17,19,20,25,18,20,20,17,17,21,21,21,22,26,25,22,22,25,25,22,21,25,23,26,30,22,24,23,24,35,34,28,29,31,26,34,32,27,31,29,30,27,28,28,30,32,33,34
oostenrijksche,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,12,0,0,0,0,0,0,0,0,0,34,36,16,22,21,24,24,20,35,32,18,59,24,0,28,31,34,26,49,22,25,24,14,12,0,11,14,11,14,12,18,11,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,12,0,0,0,11,0,0,0,0,21,16,0,0,17,19
beurze,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,17,12,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
hooge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,12,11,11,17,12,17,17,14,13,14,12,13,11,13,15,14,12,16,13,21,16,13,17,18,15,14,18,16,24,17,19,12,12,16,12,14,12,11,17,14,21,15,18,21,18,17,12,13,15,14,16,18,21,20,20,17,26,29,25,28,33,23,30,33,27,29,28,29,24,22,29,36,26,36,33
koninklijke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,11,11,14,0,0,13,13,0,12,0,11,13,11,13,11,13,14,15,0,0,0,14,13,11,13,11,0,0,0,12,15,11,13,0,13,11,11,12,13,12,11,12,14,0,12,0,0,12,0,0,11,11,12,13,11,18,30,23,16,17,18,17,17,17,21,26,19,21,19
buitengewone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,13,13,11,0,0,12,0,0,0,11,11,0,11,13,15,14,0,12,12,15,12,13,11,0,0,0,0,0,0,0,0,0,11,11,11,0,13,0,0,0,0,11,0,0,0,0,11,0,0,11,13,0,0,12,11,13,0,0,16,11,0,11,14,16,15,14,15
aanstaande,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,13,11,14,0,12,12,14,15,15,18,19,13,19,21,16,19,20,18,24,19,24,23,24,19,23,21,21,20,19,20,22,19,24,18,19,17,17,14,16,17,15,18,17,15,16,19,22,15,14,14,15,13,13,16,0,0,0,0,13,0,14,20,16,11,17,15,12,15,13,0,0,0,0,12,13,0,0
