,pmi,w1,w2,year
0,2.554903176683772,buitenlandsche,continentaal,1826
0,1.8617559961238268,buitenlandsche,overzees,1826
0,1.7339226246139416,buitenlandsche,werelddeel,1826
0,1.5472626662213889,buitenlandsche,beschaving,1826
0,1.6517059215566365,buitenlandsche,europa,1826
0,1.4595734446999207,buitenland,overzee,1827
0,1.2499828597904148,buitenland,vasteland,1827
0,1.7732310035549625,buitenland,continent,1827
0,0.0,buitenland,continentaal,1827
0,1.8412844667999781,buitenland,overzees,1827
0,2.1234334329880777,buitenland,werelddeel,1827
0,1.3985375541135516,buitenland,beschaving,1827
0,1.6269684965767106,buitenland,europa,1827
0,1.4535914959933447,buitenlandsche,overzee,1827
0,1.355226546194063,buitenlandsche,vasteland,1827
0,1.8784746899586107,buitenlandsche,continent,1827
0,0.0,buitenlandsche,continentaal,1827
0,1.835302518093402,buitenlandsche,overzees,1827
0,1.9102233882731912,buitenlandsche,werelddeel,1827
0,1.3031105450550489,buitenlandsche,beschaving,1827
0,1.6268516673225324,buitenlandsche,europa,1827
0,1.5734162617731755,buitenland,overzee,1828
0,1.3498844363325582,buitenland,vasteland,1828
0,0.0,buitenland,continent,1828
0,0.0,buitenland,continentaal,1828
0,1.5685736372973877,buitenland,overzees,1828
0,1.6455346784335159,buitenland,werelddeel,1828
0,1.3647730488263088,buitenland,beschaving,1828
0,1.8721324646158133,buitenland,europa,1828
0,1.4230561884061934,buitenlandsche,overzee,1828
0,1.221503269684351,buitenlandsche,vasteland,1828
0,0.0,buitenlandsche,continent,1828
0,0.0,buitenlandsche,continentaal,1828
0,1.405506912661291,buitenlandsche,overzees,1828
0,1.6831386492595701,buitenlandsche,werelddeel,1828
0,1.4244441136810415,buitenlandsche,beschaving,1828
0,1.883013365301114,buitenlandsche,europa,1828
0,1.6872240726484302,buitenland,overzee,1829
0,2.099528484406836,buitenland,vasteland,1829
0,1.962327362893351,buitenland,continent,1829
0,1.962327362893351,buitenland,continentaal,1829
0,1.6878905171915908,buitenland,overzees,1829
0,1.962327362893351,buitenland,werelddeel,1829
0,1.7416560007245303,buitenland,beschaving,1829
0,1.7938628407608228,buitenland,europa,1829
0,1.6393445107040712,buitenlandsche,overzee,1829
0,2.047113767297086,buitenlandsche,vasteland,1829
0,1.3838195498868215,buitenlandsche,continent,1829
0,2.0769667304467667,buitenlandsche,continentaal,1829
0,1.6306796278183473,buitenlandsche,overzees,1829
0,2.0769667304467667,buitenlandsche,werelddeel,1829
0,1.7991369544379976,buitenlandsche,beschaving,1829
0,1.786697334430035,buitenlandsche,europa,1829
0,2.057672411122476,buitenland,overzee,1830
0,2.1536305741019115,buitenland,vasteland,1830
0,1.9865764894387454,buitenland,continent,1830
0,2.39204159754691,buitenland,continentaal,1830
0,2.0789498095697607,buitenland,overzees,1830
0,1.8552404873776587,buitenland,werelddeel,1830
0,1.6851010948546288,buitenland,beschaving,1830
0,1.7138660748869314,buitenland,europa,1830
0,2.072621466428589,buitenlandsche,overzee,1830
0,2.1266886876988647,buitenlandsche,vasteland,1830
0,2.1266886876988647,buitenlandsche,continent,1830
0,2.5321537958070293,buitenlandsche,continentaal,1830
0,2.093898864875874,buitenlandsche,overzees,1830
0,1.8235024287111188,buitenlandsche,werelddeel,1830
0,1.6204188804687352,buitenlandsche,beschaving,1830
0,1.7392500074856243,buitenlandsche,europa,1830
0,1.6668367138481155,buitenland,overzee,1831
0,1.8310377295288751,buitenland,vasteland,1831
0,1.4155222855672094,buitenland,continent,1831
0,1.1844105646038228,buitenland,continentaal,1831
0,1.7150388156659933,buitenland,overzees,1831
0,1.887710116627786,buitenland,werelddeel,1831
0,1.6393239481259685,buitenland,beschaving,1831
0,1.7258520543295763,buitenland,europa,1831
0,1.7394532071608106,buitenlandsche,overzee,1831
0,1.90365422284157,buitenlandsche,vasteland,1831
0,1.4881387788799045,buitenlandsche,continent,1831
0,1.257027057916518,buitenlandsche,continentaal,1831
0,1.7876553089786882,buitenlandsche,overzees,1831
0,1.865016430136156,buitenlandsche,werelddeel,1831
0,1.600714806328439,buitenlandsche,beschaving,1831
0,1.7184258399687349,buitenlandsche,europa,1831
0,1.8834153187067446,buitenland,overzee,1832
0,1.7482802743476873,buitenland,vasteland,1832
0,1.829348097436469,buitenland,continent,1832
0,1.9471311330928525,buitenland,continentaal,1832
0,1.921155646689592,buitenland,overzees,1832
0,1.2793017605171972,buitenland,werelddeel,1832
0,1.397771845324619,buitenland,beschaving,1832
0,1.5788490946638973,buitenland,europa,1832
0,1.8633319502520678,buitenlandsche,overzee,1832
0,1.7560409320641837,buitenlandsche,vasteland,1832
0,1.9204903640920163,buitenlandsche,continent,1832
0,2.0382733997484,buitenlandsche,continentaal,1832
0,1.901072278234915,buitenlandsche,overzees,1832
0,1.319150732785194,buitenlandsche,werelddeel,1832
0,1.3207771901781682,buitenlandsche,beschaving,1832
0,1.570162129279657,buitenlandsche,europa,1832
0,1.6640646245549735,buitenland,overzee,1833
0,1.2625487458391393,buitenland,vasteland,1833
0,0.11592723798466895,buitenland,continent,1833
0,0.0,buitenland,continentaal,1833
0,1.6989318933506137,buitenland,overzees,1833
0,1.5953120221705714,buitenland,werelddeel,1833
0,1.2698381668490042,buitenland,beschaving,1833
0,1.4890345948226056,buitenland,europa,1833
0,1.6202489577571577,buitenlandsche,overzee,1833
0,1.3026145630220256,buitenlandsche,vasteland,1833
0,0.22053157630512651,buitenlandsche,continent,1833
0,0.0,buitenlandsche,continentaal,1833
0,1.6493855518438132,buitenlandsche,overzees,1833
0,1.556815516850356,buitenlandsche,werelddeel,1833
0,1.1793819225980775,buitenlandsche,beschaving,1833
0,1.4961139130091856,buitenlandsche,europa,1833
0,1.8173729972825976,buitenland,overzee,1834
0,1.5833710742944405,buitenland,vasteland,1834
0,1.053608249508699,buitenland,continent,1834
0,1.6597440530790146,buitenland,continentaal,1834
0,1.867383417857259,buitenland,overzees,1834
0,1.3167993019521842,buitenland,werelddeel,1834
0,1.306779688536818,buitenland,beschaving,1834
0,1.5482927989255861,buitenland,europa,1834
0,1.7667317672946887,buitenlandsche,overzee,1834
0,1.3661566444807163,buitenlandsche,vasteland,1834
0,1.1728660563161875,buitenlandsche,continent,1834
0,1.779001859886503,buitenlandsche,continentaal,1834
0,1.8167421878693502,buitenlandsche,overzees,1834
0,1.3407469289553477,buitenlandsche,werelddeel,1834
0,1.2531946825048956,buitenlandsche,beschaving,1834
0,1.4922781008765338,buitenlandsche,europa,1834
0,1.6947728412389258,buitenland,overzee,1835
0,1.6729415795816915,buitenland,vasteland,1835
0,1.5946893826819435,buitenland,continent,1835
0,1.7124724183383266,buitenland,continentaal,1835
0,1.7000498983397698,buitenland,overzees,1835
0,1.46607200485985,buitenland,werelddeel,1835
0,1.1122632334376508,buitenland,beschaving,1835
0,1.4459784261505033,buitenland,europa,1835
0,1.6824442352939177,buitenlandsche,overzee,1835
0,1.6114740128121632,buitenlandsche,vasteland,1835
0,1.4214304099242983,buitenlandsche,continent,1835
0,1.8268955180324624,buitenlandsche,continentaal,1835
0,1.7091124823760793,buitenlandsche,overzees,1835
0,1.3122311179593062,buitenlandsche,werelddeel,1835
0,0.9522494874300262,buitenlandsche,beschaving,1835
0,1.420217553499089,buitenlandsche,europa,1835
0,1.8917375851913754,buitenland,overzee,1836
0,1.7952500732003465,buitenland,vasteland,1836
0,1.5985397789542923,buitenland,continent,1836
0,1.7163228146106757,buitenland,continentaal,1836
0,1.9051008130035425,buitenland,overzees,1836
0,1.5184970712807557,buitenland,werelddeel,1836
0,1.479756242964325,buitenland,beschaving,1836
0,1.5814817960497156,buitenland,europa,1836
0,1.9489030964900786,buitenlandsche,overzee,1836
0,1.6202043582022463,buitenlandsche,vasteland,1836
0,1.759966300577405,buitenlandsche,continent,1836
0,1.8777493362337883,buitenlandsche,continentaal,1836
0,1.962266324302246,buitenlandsche,overzees,1836
0,1.456780041589659,buitenlandsche,werelddeel,1836
0,1.2883613899646957,buitenlandsche,beschaving,1836
0,1.5197647663586185,buitenlandsche,europa,1836
0,1.7612710963700233,buitenland,overzee,1837
0,1.6327764405214529,buitenland,vasteland,1837
0,1.7263024985322764,buitenland,continent,1837
0,0.0,buitenland,continentaal,1837
0,1.9044660451775675,buitenland,overzees,1837
0,1.6499295197477026,buitenland,werelddeel,1837
0,1.5019018760280154,buitenland,beschaving,1837
0,1.5783823684556542,buitenland,europa,1837
0,1.7950038515108229,buitenlandsche,overzee,1837
0,1.58884838669325,buitenlandsche,vasteland,1837
0,2.030681138972289,buitenlandsche,continent,1837
0,0.0,buitenlandsche,continentaal,1837
0,1.934955935298135,buitenlandsche,overzees,1837
0,1.6178359235665023,buitenlandsche,werelddeel,1837
0,1.3324961643823867,buitenlandsche,beschaving,1837
0,1.468562220818748,buitenlandsche,europa,1837
0,1.4503955067300576,buitenland,overzee,1838
0,2.0087682864258833,buitenland,vasteland,1838
0,1.356443100386193,buitenland,continent,1838
0,1.644125172837974,buitenland,continentaal,1838
0,1.566621611683114,buitenland,overzees,1838
0,1.5991737849757077,buitenland,werelddeel,1838
0,1.4372044570306515,buitenland,beschaving,1838
0,1.62804442430952,buitenland,europa,1838
0,1.4598526045075082,buitenlandsche,overzee,1838
0,1.8860536110948507,buitenlandsche,vasteland,1838
0,1.639193533163325,buitenlandsche,continent,1838
0,1.926875605615106,buitenlandsche,continentaal,1838
0,1.5726190425406552,buitenlandsche,overzees,1838
0,1.5103606613203564,buitenlandsche,werelddeel,1838
0,1.4207119949549265,buitenlandsche,beschaving,1838
0,1.6361980241835263,buitenlandsche,europa,1838
0,1.265081119981518,buitenland,overzee,1839
0,1.0699399420222673,buitenland,vasteland,1839
0,1.0446221340379773,buitenland,continent,1839
0,0.0,buitenland,continentaal,1839
0,1.320191482692037,buitenland,overzees,1839
0,1.8786747676751603,buitenland,werelddeel,1839
0,1.5013805365336923,buitenland,beschaving,1839
0,1.610781020562336,buitenland,europa,1839
0,1.3583306657513605,buitenlandsche,overzee,1839
0,1.205548761631251,buitenlandsche,vasteland,1839
0,1.313762346271484,buitenlandsche,continent,1839
0,0.0,buitenlandsche,continentaal,1839
0,1.4134410284618795,buitenlandsche,overzees,1839
0,1.924671428594457,buitenlandsche,werelddeel,1839
0,1.3650556406590346,buitenlandsche,beschaving,1839
0,1.547787397773228,buitenlandsche,europa,1839
0,1.0992801218414971,buitenland,overzee,1840
0,1.2517487154857705,buitenland,vasteland,1840
0,0.0,buitenland,continent,1840
0,0.0,buitenland,continentaal,1840
0,1.110949913163188,buitenland,overzees,1840
0,1.2901854223268432,buitenland,werelddeel,1840
